,ARO Accession,CVTERM ID,Model Sequence ID,Model ID,Model Name,ARO Name,Protein Accession,DNA Accession,AMR Gene Family,Drug Class,Resistance Mechanism
143,ARO:3000949,37329,1162,1868,TEM-82,TEM-82,AAL29434.1,AF427128,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
144,ARO:3000950,37330,1249,828,TEM-83,TEM-83,AAL29435.1,AF427129,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
145,ARO:3000951,37331,1328,493,TEM-84,TEM-84,AAL29436.1,AF427130,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
146,ARO:3004294,41460,4198,2846,BUT-1,BUT-1,AAN17791.1,AF440406.1,BUT beta-lactamase,cephalosporin,antibiotic inactivation
147,ARO:3002478,38878,1268,1861,LEN-15,LEN-15,AAL50725.1,AF452105,LEN beta-lactamase,penam;penem,antibiotic inactivation
148,ARO:3000168,36307,5131,1138,tet(D),tet(D),AAL75563.1,AF467077.1,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
149,ARO:3001094,37474,1392,424,SHV-36,SHV-36,AAL82592.1,AF467947,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
150,ARO:3001095,37475,1475,684,SHV-37,SHV-37,AAL82593.1,AF467948,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
151,ARO:3000974,37354,1643,1973,TEM-111,TEM-111,AAL77062.1,AF468003,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
152,ARO:3003003,39437,1514,1895,CfxA3,CfxA3,AAL79549.2,AF472622,CfxA beta-lactamase,cephamycin,antibiotic inactivation
153,ARO:3002397,38797,1220,52,OXY-2-2,OXY-2-2,AAL79541.1,AF473577,OXY beta-lactamase,cephalosporin;monobactam;penam,antibiotic inactivation
154,ARO:3000964,37344,842,1725,TEM-101,TEM-101,AAM18924.1,AF495873,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
155,ARO:3000971,37351,1320,2034,TEM-108,TEM-108,AAM28884.1,AF506748,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
156,ARO:3000967,37347,995,1279,TEM-104,TEM-104,AAM61952.1,AF516719,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
157,ARO:3000968,37348,1071,1961,TEM-105,TEM-105,AAM61953.1,AF516720,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
158,ARO:3000879,37259,5897,56,TEM-7,TEM-7,AAO33760.1,AF527798.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
159,ARO:3000165,36304,5213,1808,tet(A),tet(A),AAN06707.1,AF534183.1,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
160,ARO:3003047,39481,307,558,qacB,qacB,AAQ10694.1,AF535087,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
161,ARO:3000978,37358,1952,1709,TEM-115,TEM-115,AAN04881.1,AF535127,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
162,ARO:3001098,37478,1714,1685,SHV-40,SHV-40,AAN04882.1,AF535128,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
163,ARO:3001099,37479,1790,66,SHV-41,SHV-41,AAN04883.1,AF535129,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
164,ARO:3001100,37480,1874,72,SHV-42,SHV-42,AAN04884.1,AF535130,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
165,ARO:3001103,37483,834,1621,SHV-45,SHV-45,AAN39364.1,AF547625,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
166,ARO:3002601,39001,5220,650,aadA,aadA,AAO49597.1,AF550679.1,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
167,ARO:3004142,41270,4486,2796,OprZ,OprZ,EGP45230,AFRQ01000061.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic,antibiotic efflux
168,ARO:3004144,41273,4484,2799,AxyY,AxyY,EGP45231.1,AFRQ01000061.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic,antibiotic efflux
169,ARO:3004661,42703,5545,3362,Staphylococcus aureus FosB,Staphylococcus aureus FosB,EHS19134.1,AHLO01000073.1,fosfomycin thiol transferase,fosfomycin,antibiotic inactivation
170,ARO:3002875,39309,4696,1544,dfrE,dfrE,EOD99669.1,AIIS01000002.1,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement
171,ARO:3004359,41531,4259,2874,ACI-1,ACI-1,CAB51471.1,AJ007350.1,ACI beta-lactamase,cephalosporin;penam;penem,antibiotic inactivation
172,ARO:3001074,37454,987,369,SHV-15,SHV-15,CAB37325.2,AJ011428,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
173,ARO:3004122,41247,4406,2785,Klebsiella pneumoniae OmpK37,Klebsiella pneumoniae OmpK37,CAA09666.1,AJ011502.1,General Bacterial Porin with reduced permeability to beta-lactams,carbapenem;cephalosporin;cephamycin;monobactam;penam;penem,reduced permeability to antibiotic
174,ARO:3000939,37319,3324,587,TEM-73,TEM-73,CAB65358.1,AJ012256,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
175,ARO:3001815,38215,856,1663,ACC-1,ACC-1,CAB46491.1,AJ133121,ACC beta-lactamase,cephalosporin;monobactam;penam,antibiotic inactivation
176,ARO:3000194,36333,5145,389,tetW,tetW,CAA10975.1,AJ222769.3,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
177,ARO:3000935,37315,1327,836,TEM-68,TEM-68,CAB92324.1,AJ239002,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
178,ARO:3003056,39490,564,876,smeE,smeE,CAC14595.1,AJ252200,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,antibiotic efflux
179,ARO:3003057,39491,509,634,smeF,smeF,CAC14596.1,AJ252200,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,antibiotic efflux
180,ARO:3003055,39489,570,284,smeD,smeD,CAC14594.1,AJ252200,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,antibiotic efflux
181,ARO:3000582,36721,1909,1619,L1 beta-lactamase,L1 beta-lactamase,CAB75346.1,AJ272109,L1 family beta-lactamase,cephalosporin,antibiotic inactivation
182,ARO:3004837,42971,5903,3633,OXA-724,OXA-724,CAB76928.1,AJ276031.1,OXA beta-lactamase,cephalosporin;penam,antibiotic inactivation
183,ARO:3002183,38583,1039,688,MOX-2,MOX-2,CAB82578.1,AJ276453,MOX beta-lactamase,cephalosporin;cephamycin;penam,antibiotic inactivation
184,ARO:3000952,37332,1405,1421,TEM-85,TEM-85,CAC43229.1,AJ277414,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
185,ARO:3000953,37333,1497,1890,TEM-86,TEM-86,CAC43230.1,AJ277415,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
186,ARO:3000962,37342,933,536,TEM-95,TEM-95,CAC67290.1,AJ308558,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
187,ARO:3000599,36738,5165,1751,Erm(33),Erm(33),CAC86410.1,AJ313523.1,Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic,antibiotic target alteration
188,ARO:3004041,41088,3994,2659,Klebsiella pneumoniae acrA,Klebsiella pneumoniae acrA,CAC41008.1,AJ318073.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan,antibiotic efflux
189,ARO:3000960,37340,2039,1350,TEM-93,TEM-93,CAC85660.1,AJ318093,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
190,ARO:3000961,37341,852,1834,TEM-94,TEM-94,CAC85661.1,AJ318094,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
191,ARO:3000900,37280,930,735,TEM-30,TEM-30,CAD24670.1,AJ437107,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
192,ARO:3002691,39125,623,328,Salmonella enterica cmlA,Salmonella enterica cmlA,CAD31707.1,AJ487033,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux
193,ARO:3004819,42949,5811,3613,HERA-4,HERA-4,CAD60968.1,AJ536088.1,HERA beta-lactamase,penam,antibiotic inactivation
194,ARO:3003835,40526,4621,2321,cdeA,cdeA,CAE00499.1,AJ574887.1,multidrug and toxic compound extrusion (MATE) transporter,acridine dye;fluoroquinolone antibiotic,antibiotic efflux
195,ARO:3002590,38990,250,1891,AAC(6')-Iih,AAC(6')-Iih,CAE50926.1,AJ584701,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
196,ARO:3000999,37379,4683,1697,TEM-135,TEM-135,CAG25427.1,AJ634602.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
197,ARO:3002418,38818,765,2059,OKP-A-1,OKP-A-1,CAG25812.2,AJ635401,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
198,ARO:3002434,38834,1997,807,OKP-B-1,OKP-B-1,CAG25813.2,AJ635402,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
199,ARO:3002463,38863,1101,912,LEN-13,LEN-13,CAG25814.1,AJ635403,LEN beta-lactamase,penam;penem,antibiotic inactivation
200,ARO:3002461,38861,937,1965,LEN-11,LEN-11,CAG25828.1,AJ635417,LEN beta-lactamase,penam;penem,antibiotic inactivation
201,ARO:3002445,38845,963,1296,OKP-B-12,OKP-B-12,CAG25831.1,AJ635420,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
202,ARO:3002458,38858,1118,386,LEN-8,LEN-8,CAG25835.1,AJ635424,LEN beta-lactamase,penam;penem,antibiotic inactivation
203,ARO:3002457,38857,1038,1876,LEN-7,LEN-7,CAG25836.1,AJ635425,LEN beta-lactamase,penam;penem,antibiotic inactivation
204,ARO:3000993,37373,1796,1159,TEM-129,TEM-129,CAG34105.1,AJ746225,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
205,ARO:3002400,38800,1467,643,OXY-2-5,OXY-2-5,CAG34107.1,AJ746227,OXY beta-lactamase,cephalosporin;monobactam;penam,antibiotic inactivation
206,ARO:3002620,39020,280,69,aadA23,aadA23,CAH10847.1,AJ809407,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
207,ARO:3001111,37491,1562,1195,SHV-55,SHV-55,CAI10727.2,AJ863560,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
208,ARO:3001116,37496,2026,194,SHV-61,SHV-61,CAI30650.2,AJ866284,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
209,ARO:3001117,37497,839,711,SHV-62,SHV-62,CAI30651.2,AJ866285,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
210,ARO:3000994,37374,1880,1529,TEM-130,TEM-130,CAI29263.1,AJ866988,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
211,ARO:3002390,38790,2016,338,OXY-1-2,OXY-1-2,CAI43413.1,AJ871865,OXY beta-lactamase,cephalosporin;monobactam;penam,antibiotic inactivation
212,ARO:3002396,38796,1059,644,OXY-2-1,OXY-2-1,CAI43414.1,AJ871866,OXY beta-lactamase,cephalosporin;monobactam;penam,antibiotic inactivation
213,ARO:3002411,38811,2017,1244,OXY-5-1,OXY-5-1,CAI43417.1,AJ871869,OXY beta-lactamase,cephalosporin;monobactam;penam,antibiotic inactivation
214,ARO:3002412,38812,816,1311,OXY-5-2,OXY-5-2,CAI43419.1,AJ871871,OXY beta-lactamase,cephalosporin;monobactam;penam,antibiotic inactivation
215,ARO:3002413,38813,897,42,OXY-6-1,OXY-6-1,CAI43422.1,AJ871874,OXY beta-lactamase,cephalosporin;monobactam;penam,antibiotic inactivation
216,ARO:3002414,38814,983,637,OXY-6-2,OXY-6-2,CAI43423.1,AJ871875,OXY beta-lactamase,cephalosporin;monobactam;penam,antibiotic inactivation
217,ARO:3002415,38815,1060,34,OXY-6-3,OXY-6-3,CAI43424.1,AJ871876,OXY beta-lactamase,cephalosporin;monobactam;penam,antibiotic inactivation
218,ARO:3002416,38816,1141,913,OXY-6-4,OXY-6-4,CAI43425.1,AJ871877,OXY beta-lactamase,cephalosporin;monobactam;penam,antibiotic inactivation
219,ARO:3001071,37451,1470,103,SHV-12,SHV-12,CAI76927.1,AJ920369,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
220,ARO:3000873,37253,1951,355,TEM-1,TEM-1,CAD09800.1,AL513383,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
221,ARO:3001007,37387,1645,1241,TEM-144,TEM-144,CAJ17558.1,AM049399,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
222,ARO:3002420,38820,1447,599,OKP-A-3,OKP-A-3,CAJ19599.1,AM051140,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
223,ARO:3002421,38821,1520,1165,OKP-A-4,OKP-A-4,CAJ19601.1,AM051142,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
224,ARO:3002422,38822,1598,1778,OKP-A-5,OKP-A-5,CAJ19602.1,AM051143,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
225,ARO:3002423,38823,1675,1908,OKP-A-6,OKP-A-6,CAJ19603.1,AM051144,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
226,ARO:3002424,38824,1750,588,OKP-A-7,OKP-A-7,CAJ19605.1,AM051146,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
227,ARO:3002425,38825,1830,1007,OKP-A-8,OKP-A-8,CAJ19606.1,AM051147,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
228,ARO:3002426,38826,1919,435,OKP-A-9,OKP-A-9,CAJ19607.1,AM051148,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
229,ARO:3002435,38835,1366,275,OKP-B-2,OKP-B-2,CAJ19610.1,AM051151,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
230,ARO:3002436,38836,1521,227,OKP-B-3,OKP-B-3,CAJ19611.1,AM051152,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
231,ARO:3002437,38837,1599,1658,OKP-B-4,OKP-B-4,CAJ19612.1,AM051153,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
232,ARO:3002440,38840,1831,1289,OKP-B-7,OKP-B-7,CAJ19615.1,AM051156,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
233,ARO:3002441,38841,1920,561,OKP-B-8,OKP-B-8,CAJ19616.1,AM051157,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
234,ARO:3002442,38842,1998,248,OKP-B-9,OKP-B-9,CAJ19618.1,AM051159,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
235,ARO:3002443,38843,795,443,OKP-B-10,OKP-B-10,CAJ19619.1,AM051160,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
236,ARO:3002444,38844,877,1125,OKP-B-11,OKP-B-11,CAJ19620.1,AM051161,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
237,ARO:3001822,38222,1812,526,ACT-2,ACT-2,CAJ28994.1,AM076977,ACT beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation
238,ARO:3002606,39006,199,2009,aadA6,aadA6,CAJ32504.1,AM087411,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
239,ARO:3001138,37518,1395,1639,SHV-84,SHV-84,CAJ32371.1,AM087453,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
240,ARO:3001015,37395,1954,317,TEM-148,TEM-148,CAJ32372.1,AM087454,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
241,ARO:3001125,37505,1563,1062,SHV-71,SHV-71,CAJ47126.2,AM176546,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
242,ARO:3001126,37506,1640,723,SHV-72,SHV-72,CAJ47127.2,AM176547,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
243,ARO:3001127,37507,1716,1727,SHV-73,SHV-73,CAJ47128.2,AM176548,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
244,ARO:3001128,37508,1792,1026,SHV-74,SHV-74,CAJ47129.2,AM176549,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
245,ARO:3001129,37509,1876,595,SHV-75,SHV-75,CAJ47130.2,AM176550,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
246,ARO:3001130,37510,1949,1043,SHV-76,SHV-76,CAJ47131.2,AM176551,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
247,ARO:3001131,37511,2027,994,SHV-77,SHV-77,CAJ47132.2,AM176552,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
248,ARO:3001132,37512,840,310,SHV-78,SHV-78,CAJ47133.2,AM176553,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
249,ARO:3001133,37513,921,76,SHV-79,SHV-79,CAJ47134.2,AM176554,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
250,ARO:3001134,37514,1069,1439,SHV-80,SHV-80,CAJ47135.2,AM176555,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
251,ARO:3001135,37515,1151,1239,SHV-81,SHV-81,CAJ47136.2,AM176556,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
252,ARO:3001136,37516,1238,565,SHV-82,SHV-82,CAJ47137.2,AM176557,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
253,ARO:3001137,37517,1318,439,SHV-83,SHV-83,CAJ47138.2,AM176558,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
254,ARO:3001017,37397,926,1931,TEM-150,TEM-150,CAJ66089.1,AM183304,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
255,ARO:3002619,39019,238,1392,aadA22,aadA22,CAK12750.1,AM261837,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
256,ARO:3003867,40566,5438,2353,ADC-23,ADC-23,CAK95238.1,AM283518.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation
257,ARO:3003866,40565,5878,2352,ADC-22,ADC-22,CAK95239.1,AM283519.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation
258,ARO:3003863,40562,5424,2349,ADC-19,ADC-19,CAK95242.1,AM283522.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation
259,ARO:3003862,40561,5421,2348,ADC-18,ADC-18,CAK95243.1,AM283523.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation
260,ARO:3003856,40555,5302,2342,ADC-12,ADC-12,CAK95249.1,AM283529.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation
261,ARO:3001001,37381,1155,960,TEM-137,TEM-137,CAL08007.1,AM286274,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
262,ARO:3000567,36706,5150,945,tet(40),tet(40),CAM12479.1,AM419751,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
263,ARO:3002726,39160,176,1280,QnrB12,QnrB12,CAO82104.1,AM774474,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection
264,ARO:3000886,37266,845,1423,TEM-15,TEM-15,CAO98721.1,AM849805,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
265,ARO:3002465,38865,1424,1684,LEN-18,LEN-18,CAP12346.2,AM850908,LEN beta-lactamase,penam;penem,antibiotic inactivation
266,ARO:3002466,38866,1502,1110,LEN-19,LEN-19,CAP12347.2,AM850909,LEN beta-lactamase,penam;penem,antibiotic inactivation
267,ARO:3002467,38867,1657,270,LEN-20,LEN-20,CAP12348.2,AM850910,LEN beta-lactamase,penam;penem,antibiotic inactivation
268,ARO:3002468,38868,1732,233,LEN-21,LEN-21,CAP12349.2,AM850911,LEN beta-lactamase,penam;penem,antibiotic inactivation
269,ARO:3002469,38869,1809,1467,LEN-22,LEN-22,CAP12350.2,AM850912,LEN beta-lactamase,penam;penem,antibiotic inactivation
270,ARO:3002470,38870,1898,325,LEN-23,LEN-23,CAP12351.2,AM850913,LEN beta-lactamase,penam;penem,antibiotic inactivation
271,ARO:3002471,38871,1977,1886,LEN-24,LEN-24,CAP12352.2,AM850914,LEN beta-lactamase,penam;penem,antibiotic inactivation
272,ARO:3002428,38828,876,921,OKP-A-11,OKP-A-11,CAP12353.2,AM850915,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
273,ARO:3002429,38829,962,219,OKP-A-12,OKP-A-12,CAP12354.2,AM850916,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
274,ARO:3002439,38839,1751,563,OKP-B-6,OKP-B-6,CAP12355.2,AM850917,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
275,ARO:3002438,38838,1676,1085,OKP-B-5,OKP-B-5,CAP12356.2,AM850918,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
276,ARO:3002450,38850,1121,1662,OKP-B-17,OKP-B-17,CAP12357.2,AM850919,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
277,ARO:3002451,38851,1201,970,OKP-B-18,OKP-B-18,CAP12358.1,AM850920,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
278,ARO:3002452,38852,1288,1073,OKP-B-19,OKP-B-19,CAP12359.2,AM850921,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
279,ARO:3002453,38853,1448,1560,OKP-B-20,OKP-B-20,CAP12360.2,AM850922,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation
280,ARO:3001022,37402,1400,1146,TEM-156,TEM-156,CAQ00120.1,AM941159,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
281,ARO:3001336,37736,994,1941,SHV-98,SHV-98,CAQ03503.1,AM941844,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
282,ARO:3001337,37737,1070,1475,SHV-99,SHV-99,CAQ03504.1,AM941845,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
283,ARO:3001338,37738,1542,583,SHV-100,SHV-100,CAQ03505.1,AM941846,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
284,ARO:3001155,37535,2019,915,SHV-106,SHV-106,CAQ03506.1,AM941847,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
285,ARO:3001156,37536,818,1490,SHV-107,SHV-107,CAQ03507.1,AM941848,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
286,ARO:3000186,36325,5141,1692,tetM,tetM,CAQ49384.1,AM990992.1,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
287,ARO:3004552,42455,5116,3260,dfrA30,dfrA30,CAQ53849.2,AM997279.2,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement
288,ARO:3000501,36640,4176,2831,Nocardia rifampin resistant beta-subunit of RNA polymerase (rpoB2),rpoB2,BAD59497.1,AP006618.1,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),peptide antibiotic;rifamycin antibiotic,antibiotic target alteration;antibiotic target replacement
289,ARO:3004580,42506,5313,3283,Klebsiella pneumoniae KpnE,Klebsiella pneumoniae KpnE,BAH63251.1,AP006725.1,major facilitator superfamily (MFS) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;macrolide antibiotic;peptide antibiotic;rifamycin antibiotic;tetracycline antibiotic,antibiotic efflux
290,ARO:3004583,42513,5312,3286,Klebsiella pneumoniae KpnF,Klebsiella pneumoniae KpnF,BAH63252.1,AP006725.1,major facilitator superfamily (MFS) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;macrolide antibiotic;peptide antibiotic;rifamycin antibiotic;tetracycline antibiotic,antibiotic efflux
291,ARO:3000263,36402,5219,1922,marA,marA,BAA15221.2,AP009048.1,General Bacterial Porin with reduced permeability to beta-lactams;resistance-nodulation-cell division (RND) antibiotic efflux pump,carbapenem;cephalosporin;cephamycin;fluoroquinolone antibiotic;glycylcycline;monobactam;penam;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan,antibiotic efflux;reduced permeability to antibiotic
292,ARO:3000828,37208,5369,1337,baeR,baeR,BAA15935.1,AP009048.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux
293,ARO:3000491,36630,5517,1427,acrD,acrD,BAA16344.1,AP009048.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux
294,ARO:3000508,36647,5417,91,gadX,gadX,BAE77778.1,AP009048.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic;macrolide antibiotic;penam,antibiotic efflux
295,ARO:3000795,37175,4673,1903,mdtE,mdtE,BAE77781.1,AP009048.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic;macrolide antibiotic;penam,antibiotic efflux
296,ARO:3000518,36657,4752,869,CRP,CRP,BAE77933.1,AP009048.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic;macrolide antibiotic;penam,antibiotic efflux
297,ARO:3003550,40152,4454,45,mdtP,mdtP,BAE78082.1,AP009048.1,major facilitator superfamily (MFS) antibiotic efflux pump,acridine dye;nucleoside antibiotic,antibiotic efflux
298,ARO:3003549,40151,4664,2056,mdtO,mdtO,BAE78083.1,AP009048.1,major facilitator superfamily (MFS) antibiotic efflux pump,acridine dye;nucleoside antibiotic,antibiotic efflux
299,ARO:3003548,40150,4705,1442,mdtN,mdtN,BAE78084.1,AP009048.1,major facilitator superfamily (MFS) antibiotic efflux pump,acridine dye;nucleoside antibiotic,antibiotic efflux
300,ARO:3000829,37209,608,986,baeS,baeS,BAA15934.1,AP009048,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux
301,ARO:3000027,36036,411,1757,emrA,emrA,BAA16547.1,AP009048,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
302,ARO:3003576,40186,4556,516,eptA,eptA,BAE78116.1,AP009048,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
303,ARO:3004612,42576,5238,3307,Escherichia coli ampH,Escherichia coli ampH beta-lactamase,BAJ42218.1,AP012030.1,ampC-type beta-lactamase,cephalosporin;penam,antibiotic inactivation
